law_id,law_title,law_text,location,keywords
0,title 55.1 chapter 12 section 55.1-1203 ," Any landlord may require a refundable application deposit in addition to a nonrefundable application fee. If the applicant fails to rent the unit for which application was made, from the application deposit the landlord shall refund to the applicant within 20 days after the applicant's failure to rent the unit or the landlord's rejection of the application all sums in excess of the landlord's actual expenses and damages together with an itemized list of such expenses and damages. If, however, the application deposit was made by cash, certified check, cashier's check, or postal money order, such refund shall be made within 10 days of the applicant's failure to rent the unit if the failure to rent is due to the landlord's rejection of the application. If the landlord fails to comply with this section, the applicant may recover as damages suffered by him that portion of the application deposit wrongfully withheld and reasonable attorney fees. A landlord may request that a prospective tenant provide information that will enable the landlord to determine whether each applicant may become a tenant. The landlord may photocopy each applicant's driver's license or other similar photo identification, containing either the applicant's social security number or control number issued by the Department of Motor Vehicles pursuant to Section 42-34 However, a landlord shall not photocopy a  government-issued identification so long as to do so is a violation of 18  Section 70 The landlord may require, for the purpose of determining whether each applicant is eligible to become a tenant in the landlord's dwelling unit, that each applicant provide a social security number issued by the  Social Security Administration or an individual taxpayer identification number issued by the  Internal Revenue Service. An application fee shall not exceed $50, exclusive of any actual out-of-pocket expenses paid by the landlord to a third party performing background, credit, or other pre-occupancy checks on the applicant. However, where an application is being made for a dwelling unit that is a public housing unit or other housing unit subject to regulation by the  Department of Housing and Urban Development, an application fee shall not exceed $32, exclusive of any actual out-of-pocket expenses paid to a third party by the landlord performing background, credit, or other pre-occupancy checks on the applicant. A landlord shall consider evidence of an applicant's status as a victim of family abuse, as defined in Section 11-228, to mitigate any adverse effect of an otherwise qualified applicant's low credit score. In order to establish the applicant's status as a victim of family abuse, an applicant may submit to the landlord  a letter from a sexual and domestic violence program, a housing counselor certified by the  Department of Housing and Urban Development, or an attorney representing the applicant;  a law-enforcement incident report; or  a court order. If a landlord does not comply with this section, the applicant may recover actual damages, including all amounts paid to the landlord as an application fee, application deposit, or reimbursement for any of the landlord's out-of-pocket expenses that were charged to the prospective tenant, along with attorney fees.1977, c. 427, Section 55-246:1; 1985, c. 208; 1993, c. 382; 2000, c. 760; 2003, c. 416; 2008, c. 489; 2011, c. 766; 2013, c. 563; 2019, c. 712; 2020, c. 38",VA,"applicant, application, landlord, identification, deposit, credit, fee, expense, unit, housing"
1,title 55.1 chapter 12 section 55.1-1204 ," A landlord and tenant may include in a rental agreement terms and conditions not prohibited by this chapter or other rule of law, including rent, charges for late payment of rent, the term of the agreement, automatic renewal of the rental agreement, requirements for notice of intent to vacate or terminate the rental agreement, and other provisions governing the rights and obligations of the parties. A landlord shall offer a prospective tenant a written rental agreement containing the terms governing the rental of the dwelling unit and setting forth the terms and conditions of the landlord-tenant relationship and shall provide with it the statement of tenant rights and responsibilities developed by the Department of Housing and Community Development and posted on its website pursuant to Section 36-13 The parties to a written rental agreement shall sign the form developed by the Department of Housing and Community Development and posted on its website pursuant to Section 36-139 acknowledging that the tenant has received from the landlord the statement of tenant rights and responsibilities. The written rental agreement shall be effective upon the date signed by the parties.If a tenant fails to sign the form available pursuant to this subsection, the landlord shall record the date or dates on which he provided the form to the tenant and the fact that the tenant failed to sign such form. Subsequent to the effective date of the tenancy, a landlord may, but shall not be required to, provide a tenant with and allow such tenant an opportunity to sign the form described pursuant to this subsection. The form shall be current as of the date of delivery. If a landlord does not offer a written rental agreement, the tenancy shall exist by operation of law, consisting of the following terms and conditions: The provision of this chapter shall be applicable to the dwelling unit that is being rented; The duration of the rental agreement shall be for 12 months and shall not be subject to automatic renewal, except in the event of a month-to-month lease as otherwise provided for under subsection D of Section 51-1253; Rent shall be paid in 12 equal periodic installments in an amount agreed upon by the landlord and the tenant and if no amount is agreed upon, the installments shall be at fair market rent; Rent payments shall be due on the first day of each month during the tenancy and shall be considered late if not paid by the fifth of the month; If the rent is paid by the tenant after the fifth day of any given month, the landlord shall be entitled to charge a late charge as provided in this chapter; The landlord may collect a security deposit in an amount that does not exceed a total amount equal to two months of rent; and The parties may enter into a written rental agreement at any time during the 12-month tenancy created by this subsection. Except as provided in the written rental agreement, or as provided in subsection C if no written agreement is offered, rent shall be payable without demand or notice at the time and place agreed upon by the parties. Except as provided in the written rental agreement, rent is payable at the place designated by the landlord, and periodic rent is payable at the beginning of any term of one month or less and otherwise in equal installments at the beginning of each month. If the landlord receives from a tenant a written request for a written statement of charges and payments, he shall provide the tenant with a written statement showing all debits and credits over the tenancy or the past 12 months, whichever is shorter. The landlord shall provide such written statement within 10 business days of receiving the request. A landlord shall not charge a tenant for late payment of rent unless such charge is provided for in the written rental agreement. No such late charge shall exceed the lesser of 10 percent of the periodic rent or 10 percent of the remaining balance due and owed by the tenant. Except as provided in the written rental agreement or, as provided in subsection C if no written agreement is offered, the tenancy shall be week-to-week in the case of a tenant who pays weekly rent and month-to-month in all other cases. Terminations of tenancies shall be governed by Section 51-1253 unless the rental agreement provides for a different notice period. If the rental agreement contains any provision allowing the landlord to approve or disapprove a sublessee or assignee of the tenant, the landlord shall, within 10 business days of receipt of the written application of the prospective sublessee or assignee on a form to be provided by the landlord, approve or disapprove the sublessee or assignee. Failure of the landlord to act within 10 business days is evidence of his approval. The landlord shall provide a copy of any written rental agreement and the statement of tenant rights and responsibilities to the tenant within one month of the effective date of the written rental agreement. The failure of the landlord to deliver such a rental agreement and statement shall not affect the validity of the agreement. However, the landlord shall not file or maintain an action, including any summons for unlawful detainer, against the tenant in a court of law for any alleged lease violation until he has provided the tenant with the statement of tenant rights and responsibilities. No unilateral change in the terms of a rental agreement by a landlord or tenant shall be valid unless  notice of the change is given in accordance with the terms of the rental agreement or as otherwise required by law and  both parties consent in writing to the change. The landlord shall provide the tenant with a written receipt, upon request from the tenant, whenever the tenant pays rent in the form of cash or money order. A landlord who owns more than four rental dwelling units or more than a 10 percent interest in more than four rental dwelling units, whether individually or through a business entity, in the Commonwealth, shall be required to provide written notice to any tenant who has the option to renew a rental agreement or whose rental agreement contains an automatic renewal provision of any increase in rent during the subsequent rental agreement term. Such notice shall be provided to the tenant no less than 60 days prior to the end of the rental agreement term. This subsection shall not apply to any periodic tenancy created pursuant to subsection C of Section 51-1251974, c. 680, Section 55-247; 1977, c. 427; 1983, c. 39; 1988, c. 68; 2000, c. 760; 2003, c. 424; 2012, cc. 464, 503; 2013, c. 563; 2017, c. 730; 2019, cc. 5, 45, 712; 2020, cc. 985, 986, 998, 1231; 2021, Sp. Sess. I, c. 427; 2023, cc. 450, 679, 70",VA,"agreement, rental, written, tenant, shall, landlord, rent, month, statement, provided"
2,title 55.1 chapter 12 section 55.1-1205 ,"A landlord and a tenant may agree in a rental agreement that the tenant pay prepaid rent. If a landlord receives prepaid rent, it shall be placed in an escrow account in a federally insured depository authorized to do business in Virginia by the end of the fifth business day following receipt and shall remain in the account until such time as the prepaid rent becomes due. Unless the landlord has otherwise become entitled to receive any portion of the prepaid rent, it shall not be removed from the escrow account required by this section without the written consent of the tenant.2002, c. 531, Section 55-247:1; 2015, c. 596; 2017, c. 730; 2019, c. 71",VA,"prepaid, account, rent, escrow, business, landlord, federally, depository, tenant, insured"
3,title 55.1 chapter 12 section 55.1-1206 ," A landlord may require as a condition of tenancy that a tenant have damage insurance and pay for the cost of premiums. As provided in Section 51-1200, such payments shall not be deemed a security deposit, but shall be rent. However, as provided in Section 51-1208, the landlord shall not require a tenant to pay both a security deposit and the cost of damage insurance premiums if the total amount of any security deposit and damage insurance premiums exceeds the amount of two months' periodic rent. The landlord shall notify a tenant in writing that the tenant has the right to obtain a separate policy from the landlord's policy for damage insurance. If a tenant elects to obtain a separate policy, the tenant shall submit to the landlord written proof of such coverage and shall maintain such coverage at all times during the term of the rental agreement. Where a landlord obtains damage insurance coverage on behalf of a tenant, the insurance policy shall provide coverage for the tenant as an insured. The landlord shall recover from the tenant the actual costs of such insurance coverage and may recover administrative or other fees associated with administration of a damage insurance policy, including a tenant opting out of the insurance coverage provided by the landlord pursuant to this subsection. If a landlord obtains damage insurance for his tenants, the landlord shall provide to each tenant, prior to execution of the rental agreement, a summary of the insurance policy or certificate evidencing the coverage being provided and upon request of the tenant make available a copy of the insurance policy. For a tenant that opts out of the landlord's damage insurance program, the landlord shall allow such tenant to either provide their own damage insurance policy or pay the full security deposit. A landlord may require as a condition of tenancy that a tenant have renter's insurance as specified in the rental agreement. A landlord may require a tenant to pay for the cost of premiums for such renter's insurance obtained by the landlord, in order to provide such coverage for the tenant as part of rent or as otherwise provided in this section. As provided in Section 51-1200, such payments shall not be deemed a security deposit but shall be rent. The landlord shall notify a tenant in writing that the tenant has the right to obtain a separate policy from the landlord's policy for renter's insurance. If a tenant elects to obtain a separate policy, the tenant shall submit to the landlord written proof of such coverage and shall maintain such coverage at all times during the term of the rental agreement. If a tenant allows his renter's insurance policy required by the rental agreement to lapse for any reason, the landlord may provide any landlord's renter's insurance coverage to such tenant. The tenant shall be obligated to pay for the cost of premiums for such insurance as rent or as otherwise provided herein until the tenant has provided written documentation to the landlord showing that the tenant has reinstated his own renter's insurance coverage. If the landlord requires that such premiums be paid to the landlord prior to the commencement of the tenancy, the total amount of all security deposits, insurance premiums for damage insurance, and insurance premiums for renter's insurance shall not exceed the amount of two months' periodic rent. However, the landlord shall be permitted to add a monthly amount as additional rent to recover additional costs of renter's insurance premiums. Where a landlord obtains renter's insurance coverage on behalf of a tenant, the insurance policy shall provide coverage for the tenant as an insured. The landlord shall recover from the tenant the actual costs of such insurance coverage and may recover administrative or other fees associated with the administration of a renter's insurance program, including a tenant opting out of the insurance coverage provided to the tenant pursuant to this subsection. If a landlord obtains renter's insurance for his tenants, the landlord shall provide to each tenant, prior to execution of the rental agreement, a summary of the insurance policy prepared by the insurer or certificate evidencing the coverage being provided and upon request of the tenant make available a copy of the insurance policy. Such summary or certificate shall include a statement regarding whether the insurance policy contains a waiver of subrogation provision. Any failure of the landlord to provide such summary or certificate, or to make available a copy of the insurance policy, shall not affect the validity of the rental agreement.If the rental agreement does not require the tenant to obtain renter's insurance, the landlord shall provide a written notice to the tenant, prior to the execution of the rental agreement, stating that  the landlord is not responsible for the tenant's personal property,  the landlord's insurance coverage does not cover the tenant's personal property, and  if the tenant wishes to protect his personal property, he should obtain renter's insurance. The notice shall inform the tenant that any such renter's insurance obtained by the tenant does not cover flood damage and advise the tenant to contact the Federal Emergency Management Agency (FEMA) or visit the websites for FEMA's National Flood Insurance Program or for the Virginia Department of Conservation and Recreation's Flood Risk Information System to obtain information regarding whether the property is located in a special flood hazard area. Any failure of the landlord to provide such notice shall not affect the validity of the rental agreement. If the tenant requests translation of the notice from the English language to another language, the landlord may assist the tenant in obtaining a translator or refer the tenant to an electronic translation service. In doing so, the landlord shall not be deemed to have breached any of his obligations under this chapter or otherwise become liable for any inaccuracies in the translation. The landlord shall not charge a fee for such assistance or referral. Nothing in this section shall be construed to prohibit the landlord from recovering from the tenant, as part of the rent, the tenant's prorated share of the actual costs of other insurance coverages provided by the landlord relative to the premises, or the tenant's prorated share of a self-insurance program held in an escrow account by the landlord, including the landlord's administrative or other fees associated with the administration of such coverages. The landlord may apply such funds held in escrow to pay claims pursuant to the landlord's self-insurance plan.2004, c. 123, Section 55-247:2; 2005, c. 285; 2010, c. 550; 2012, c. 788; 2015, c. 596; 2018, c. 221; 2019, cc. 386, 394, 712; 2020, c. 998; 2021, Sp. Sess. I, c. 42",VA,"insurance, coverage, tenant, renter, landlord, policy, premium, shall, obtain, damage"
4,title 55.1 chapter 12 section 55.1-1207 ,"If the landlord does not sign and deliver a written rental agreement signed and delivered to him by the tenant, acceptance of rent without reservation by the landlord gives the rental agreement the same effect as if it had been signed and delivered by the landlord. If the tenant does not sign and deliver a written rental agreement signed and delivered to him by the landlord, acceptance of possession or payment of rent without reservation gives the rental agreement the same effect as if it had been signed and delivered by the tenant. If a rental agreement given effect pursuant to this section provides for a term longer than one year, it is effective for only one year.1974, c. 680, Section 55-248; 2019, c. 71",VA,"signed, delivered, agreement, rental, effect, reservation, acceptance, deliver, sign, landlord"
5,title 55.1 chapter 12 section 55.1-1208.1 ,"A rental agreement may contain provisions that allow the operation of child care services provided by a tenant of an apartment building that meet state and local laws and regulations.2022, c. 26",VA,"child, care, apartment, meet, operation, contain, regulation, building, allow, local"
6,title 55.1 chapter 12 section 55.1-1209 ," No landlord or managing agent shall release information about a tenant or prospective tenant in the possession of the landlord or managing agent to a third party unless: The tenant or prospective tenant has given prior written consent; The information is a matter of public record as defined in Section 2-3701; The information is a summary of the tenant's rent payment record, including the amount of the tenant's periodic rent payment; The information is a copy of a material noncompliance notice that has not been remedied or a termination notice given to the tenant under Section 51-1245 and the tenant did not remain in the premises after such notice was given; The information is requested by a local, state, or federal law-enforcement or public safety official in the performance of his duties; The information is requested pursuant to a subpoena in a civil case; The information is requested by a local commissioner of the revenue in accordance with Section 51-3901; The information is requested by a contract purchaser of the landlord's property, provided that the contract purchaser agrees in writing to maintain the confidentiality of such information; The information is requested by a lender of the landlord for financing or refinancing of the property;10. The information is requested by the commanding officer, military housing officer, or military attorney of the tenant;1 The third party is the landlord's attorney or the landlord's collection agency;1 The information is otherwise provided in the case of an emergency;1 The information is requested by the landlord to be provided to the managing agent or a successor to the managing agent; or1 The information is requested by an employee or independent contractor of the United States to obtain census information pursuant to federal law. Any information received by a landlord pursuant to Section 51-1203 shall remain a confidential tenant record and shall not be released to any person except in response to a subpoena. A tenant may designate a third party to receive duplicate copies of a summons that has been issued pursuant to Section 01-126 and of written notices from the landlord relating to the tenancy. Where such a third party has been designated by the tenant, the landlord shall mail the duplicate copy of any summons issued pursuant to Section 01-126 or notice to the designated third party at the same time the summons or notice is mailed to or served upon the tenant. Nothing in this subsection shall be construed to grant standing to any third party designated by the tenant to challenge actions of the landlord in which notice was mailed pursuant to this subsection. The failure of the landlord to give notice to a third party designated by the tenant shall not affect the validity of any judgment entered against the tenant. A landlord or managing agent may enter into an agreement with a third-party service provider to maintain tenant records in electronic form or other medium. In such case, the landlord and managing agent shall not be liable under this section in the event of a breach of the electronic data of such third-party service provider, except in the case of gross negligence or intentional act. Nothing in this section shall be construed to require a landlord or managing agent to indemnify such third-party service provider. A tenant may request a copy of his tenant records in paper or electronic form. If the rental agreement so provides, a landlord may charge a tenant requesting more than one copy of his records the actual costs of preparing copies of such records. However, if the landlord makes available tenant records to each tenant by electronic portal, the tenant shall not be required to pay for access to such portal.1985, c. 567, Section 55-249:1; 2000, c. 760; 2003, c. 426; 2006, cc. 491, 667; 2008, c. 489; 2010, c. 550; 2015, c. 596; 2016, c. 744; 2018, c. 221; 2019, c. 712; 2020, c. 38",VA,"information, tenant, requested, record, landlord, managing, agent, party, copy, electronic"
7,title 55.1 chapter 12 section 55.1-1209.1 ," As used in this section, ""key"" means any physical or electronic mechanism used to gain access to a rental dwelling unit. Any landlord who owns more than 200 rental dwelling units that are attached to the same piece of real property in the Commonwealth shall establish: A policy requiring any applicant for employment in any position that will have access to keys for each rental dwelling unit to be subject to a pre-employment criminal history records check; and Written policies and procedures regarding the  storage, issuance and return, and security of;  access to; and  if applicable, usage and deactivation of rental dwelling unit keys and electronic key codes. The provisions of this section shall not apply to  a financial institution, as defined in Section 2-100, or  any person who is a real estate licensee pursuant to Chapter 21 (Section 51-2100 et seq.) of Title 52023, c. 43",VA,"key, electronic, unit, dwelling, access, rental, policy, code, real, section"
8,title 55.1 chapter 12 section 55.1-1210 ,"If the tenant refuses to allow lawful access, the landlord may obtain injunctive relief to compel access, or terminate the rental agreement. In either case, the landlord may recover actual damages and reasonable attorney fees. If the landlord makes an unlawful entry or a lawful entry in an unreasonable manner or makes repeated demands for entry that is otherwise lawful but that have the effect of unreasonably harassing the tenant, the tenant may obtain injunctive relief to prevent the recurrence of the conduct, or terminate the rental agreement. In either case, the tenant may recover actual damages and reasonable attorney fees.2000, c. 760, Section 55-2410:1; 2019, c. 71",VA,"entry, lawful, injunctive, relief, obtain, unlawful, attorney, tenant, access, recover"
9,title 55.1 chapter 12 section 55.1-1211 ," As used in this section, ""nonresident property owner"" means any nonresident individual or group of individuals who owns and leases residential real property. Every nonresident property owner shall appoint and continuously maintain an agent who  if such agent is an individual, is a resident of the Commonwealth, or if such agent is a corporation, limited liability company, partnership, or other entity, is authorized to transact business in the Commonwealth and  maintains a business office within the Commonwealth. Every lease executed by or on behalf of nonresident property owners regarding any such real property shall specifically designate such agent and the agent's office address for the purpose of service of any process, notice, order, or demand required or permitted by law to be served upon such nonresident property owner. Whenever any nonresident property owner fails to appoint or maintain an agent, as required in this section, or whenever his agent cannot with reasonable diligence be found, then the Secretary of the Commonwealth shall be an agent of the nonresident property owner upon whom may be served any process, notice, order, or demand. Service may be made on the Secretary of the Commonwealth or any of his staff at his office who shall forthwith cause it to be sent by registered or certified mail addressed to the nonresident property owner at his address as shown on the official tax records maintained by the locality where the property is located. The name and office address of the agent appointed as provided in this section shall be listed on a form provided by the State Corporation Commission and delivered to the office of the clerk of the State Corporation Commission for filing. Beginning July 1, 2022, the clerk of the State Corporation Commission shall charge a fee of $10 for the filing of a resident agent appointment. No nonresident property owner shall maintain an action in the courts of the Commonwealth concerning property for which a designation is required by this section until such designation has been filed.1973, c. 301, Section 55-211; 1987, c. 360; 2006, c. 318; 2008, c. 119; 2019, cc. 365, 712; 2021, Sp. Sess. I, c. 42",VA,"nonresident, agent, property, commonwealth, office, owner, corporation, commission, individual, address"
